folder_name,run_name,dataset,model,optimizer,seed,learning_rate,batch_size,epochs,test_accuracy,test_f1,cls_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,final_train_loss,final_train_acc,final_val_loss,final_val_acc,final_val_f1,best_epoch,best_val_loss,best_val_acc,best_val_f1,training_time_seconds
distilbert_ag_news_adagrad_0.001_16_20251127_055522,distilbert_ag_news_adagrad_0.001_16_20251127_055522,ag_news,distilbert,adagrad,42,0.001,16,3,0.9375,0.93740109242952,0.9375,0.9383104688620648,0.9375,0.93740109242952,0.9383104688620648,0.9375,0.93740109242952,0.1253870417299991,0.9581583333333332,0.1922778777479145,0.9375,0.93740109242952,3,0.1922778777479145,0.9375,0.93740109242952,8086.927616119385
distilbert_ag_news_adamw_2e-05_16_20251126_230809,distilbert_ag_news_adamw_2e-05_16_20251126_230809,ag_news,distilbert,adamw,42,2e-05,16,3,0.945921052631579,0.9458837731972404,0.945921052631579,0.9464415567624128,0.9459210526315788,0.9458837731972404,0.9464415567624128,0.945921052631579,0.9458837731972402,0.0883251827366805,0.9692666666666668,0.1715502327284775,0.945921052631579,0.9458837731972404,3,0.1715502327284775,0.945921052631579,0.9458837731972404,8272.288390398026
distilbert_ag_news_adam_2e-05_16_20251126_205128,distilbert_ag_news_adam_2e-05_16_20251126_205128,ag_news,distilbert,adam,42,2e-05,16,3,0.9425,0.9424329939111716,0.9425,0.9428171464780848,0.9425,0.9424329939111716,0.942817146478085,0.9425,0.9424329939111716,0.0884399771217256,0.9693166666666668,0.1729815158875365,0.9425,0.9424329939111716,2,0.1673795077219409,0.9435526315789474,0.9434674111811066,8186.541989564896
distilbert_ag_news_cobyla_0.0001_16_20251127_081023,distilbert_ag_news_cobyla_0.0001_16_20251127_081023,ag_news,distilbert,cobyla,42,0.0001,16,3,0.8230263157894737,0.8215075423291729,0.8230263157894737,0.8298012582770586,0.8230263157894737,0.8215075423291729,0.8298012582770588,0.8230263157894737,0.8215075423291729,1.252548751449585,0.7351666666666666,1.1776072208504929,0.8230263157894737,0.8215075423291729,3,1.1776072208504929,0.8230263157894737,0.8215075423291729,7867.939809083939
distilbert_ag_news_qng_1e-05_16_20251127_123812,distilbert_ag_news_qng_1e-05_16_20251127_123812,ag_news,distilbert,qng,42,1e-05,16,3,0.9439473684210526,0.943913014818364,0.9439473684210526,0.9446840891694688,0.9439473684210524,0.943913014818364,0.9446840891694688,0.9439473684210526,0.9439130148183644,0.1251534042594644,0.9581083333333332,0.1657812801322066,0.9439473684210526,0.943913014818364,3,0.1657812801322066,0.9439473684210526,0.943913014818364,8249.16096329689
distilbert_ag_news_qpso_3e-05_16_20251127_102139,distilbert_ag_news_qpso_3e-05_16_20251127_102139,ag_news,distilbert,qpso,42,3e-05,16,3,0.945,0.9447989332099976,0.945,0.9448384780556802,0.945,0.9447989332099976,0.9448384780556802,0.945,0.9447989332099976,0.0965971073577568,0.9676416666666666,0.1853473332607628,0.945,0.9447989332099976,3,0.1853473332607628,0.945,0.9447989332099976,8183.2852993011475
distilbert_ag_news_rmsprop_0.0001_16_20251127_034053,distilbert_ag_news_rmsprop_0.0001_16_20251127_034053,ag_news,distilbert,rmsprop,42,0.0001,16,3,0.9147368421052632,0.9147295214425072,0.9147368421052632,0.9167998822042912,0.9147368421052632,0.9147295214425072,0.9167998822042912,0.9147368421052632,0.9147295214425072,0.2394052768068388,0.9268333333333332,0.2936368087973249,0.9147368421052632,0.9147295214425072,2,0.2690584486919014,0.9198684210526316,0.9196116247098628,8058.783723115921
distilbert_ag_news_sgd_0.001_16_20251127_012611,distilbert_ag_news_sgd_0.001_16_20251127_012611,ag_news,distilbert,sgd,42,0.001,16,3,0.9444736842105264,0.9444014495784196,0.9444736842105264,0.944441388140592,0.9444736842105264,0.9444014495784196,0.944441388140592,0.9444736842105264,0.9444014495784196,0.1254693727516569,0.9566333333333332,0.170344184721624,0.9444736842105264,0.9444014495784196,3,0.170344184721624,0.9444736842105264,0.9444014495784196,8070.85940861702
distilbert_imdb_adagrad_0.001_16_20251129_125719,distilbert_imdb_adagrad_0.001_16_20251129_125719,imdb,distilbert,adagrad,42,0.001,16,3,0.84872,0.848387933186783,0.84872,0.8518021243392513,0.8487199999999999,0.848387933186783,0.8518021243392513,0.84872,0.8483879331867831,0.1665547084181271,0.93936,0.377931918522554,0.84872,0.848387933186783,2,0.315894801772044,0.863,0.8629931323389488,3219.9720668792725
distilbert_imdb_adamw_2e-05_16_20251129_101524,distilbert_imdb_adamw_2e-05_16_20251129_101524,imdb,distilbert,adamw,42,2e-05,16,3,0.90756,0.9075040251358512,0.90756,0.9085489499301588,0.90756,0.9075040251358512,0.9085489499301588,0.90756,0.9075040251358512,0.0817893579952604,0.9726,0.2986441512132359,0.90756,0.9075040251358512,1,0.2186924670879524,0.91096,0.9109598541166252,3266.0280907154083
distilbert_imdb_adam_2e-05_16_20251129_092100,distilbert_imdb_adam_2e-05_16_20251129_092100,imdb,distilbert,adam,42,2e-05,16,3,0.9086,0.9085738259297595,0.9086,0.9090684429275172,0.9086,0.9085738259297595,0.9090684429275172,0.9086,0.9085738259297598,0.0828187297648313,0.97212,0.2915198098957435,0.9086,0.9085738259297595,1,0.2193578511833434,0.91096,0.9109599720770472,3254.8507022857666
distilbert_imdb_cobyla_0.0001_16_20251129_135113,distilbert_imdb_cobyla_0.0001_16_20251129_135113,imdb,distilbert,cobyla,42,0.0001,16,3,0.46572,0.4615081137693309,0.46572,0.4646128589956497,0.46572,0.4615081137693309,0.4646128589956497,0.46572,0.4615081137693308,0.6951425739075996,0.49024,0.694741379238441,0.46572,0.4615081137693309,3,0.694741379238441,0.46572,0.4615081137693309,3192.531341314316
distilbert_imdb_qng_1e-05_16_20251129_153857,distilbert_imdb_qng_1e-05_16_20251129_153857,imdb,distilbert,qng,42,1e-05,16,3,0.91084,0.9108101964779588,0.91084,0.9113898775330104,0.91084,0.9108101964779588,0.9113898775330104,0.91084,0.9108101964779588,0.1602649661722478,0.94144,0.2332966708761693,0.91084,0.9108101964779588,3,0.2332966708761693,0.91084,0.9108101964779588,3260.249376296997
distilbert_imdb_qpso_3e-05_16_20251129_144435,distilbert_imdb_qpso_3e-05_16_20251129_144435,imdb,distilbert,qpso,42,3e-05,16,3,0.89636,0.8962098112792491,0.89636,0.8986675541416529,0.89636,0.8962098112792491,0.8986675541416529,0.89636,0.8962098112792493,0.0757715862103,0.97396,0.3614607449661815,0.89636,0.8962098112792491,1,0.2345046097036124,0.90496,0.9049495605722174,3251.6545996665955
distilbert_imdb_rmsprop_0.0001_16_20251129_120352,distilbert_imdb_rmsprop_0.0001_16_20251129_120352,imdb,distilbert,rmsprop,42,0.0001,16,3,0.82016,0.8201301606009148,0.82016,0.8203725920757554,0.82016,0.8201301606009148,0.8203725920757554,0.82016,0.8201301606009147,0.4437346936359058,0.80128,0.4135313501756731,0.82016,0.8201301606009148,3,0.4135313501756731,0.82016,0.8201301606009148,3197.8267238140106
distilbert_imdb_sgd_0.001_16_20251129_111001,distilbert_imdb_sgd_0.001_16_20251129_111001,imdb,distilbert,sgd,42,0.001,16,3,0.90844,0.9084292399228946,0.90844,0.9086320662244838,0.90844,0.9084292399228946,0.9086320662244836,0.90844,0.9084292399228946,0.1581244923347775,0.94064,0.2387092552603337,0.90844,0.9084292399228946,3,0.2387092552603337,0.90844,0.9084292399228946,3220.147946357727
distilbert_sst2_adagrad_0.001_16_20251130_113955,distilbert_sst2_adagrad_0.001_16_20251130_113955,sst2,distilbert,adagrad,42,0.001,16,3,0.8612385321100917,0.8611974600050779,0.8612385321100917,0.8611843386109752,0.8612128483623811,0.8611974600050779,0.8612462740385369,0.8612385321100917,0.8612412702504261,0.0922791423123427,0.96810643068197,0.4252037465064363,0.8612385321100917,0.8611974600050779,3,0.4252037465064363,0.8612385321100917,0.8611974600050779,4442.877734184265
distilbert_sst2_adamw_2e-05_16_20251130_075529,distilbert_sst2_adamw_2e-05_16_20251130_075529,sst2,distilbert,adamw,42,2e-05,16,3,0.893348623853211,0.8932979659826084,0.893348623853211,0.8933675483616266,0.8932495579691841,0.8932979659826084,0.8933537850827789,0.893348623853211,0.8933406252420633,0.0728263625015688,0.9742980593624256,0.3012826159088449,0.893348623853211,0.8932979659826084,2,0.2497977722266858,0.908256880733945,0.9080008651294792,4563.619433879852
distilbert_sst2_adam_2e-05_16_20251130_063937,distilbert_sst2_adam_2e-05_16_20251130_063937,sst2,distilbert,adam,42,2e-05,16,3,0.8956422018348624,0.8955563540543778,0.8956422018348624,0.895886347711096,0.8954176138755578,0.8955563540543778,0.8957714555340449,0.8956422018348624,0.8956112966338879,0.0729947460156361,0.9739417066326151,0.2930713307451118,0.8956422018348624,0.8955563540543778,1,0.244717372005636,0.9059633027522936,0.9058518678471172,4541.522466421127
distilbert_sst2_cobyla_0.0001_16_20251130_125411,distilbert_sst2_cobyla_0.0001_16_20251130_125411,sst2,distilbert,cobyla,42,0.0001,16,3,0.5091743119266054,0.3373860182370821,0.5091743119266054,0.2545871559633027,0.5,0.3373860182370821,0.2592584799259321,0.5091743119266054,0.3435765873790469,0.6863091403826399,0.5578850465485753,0.6959813540632075,0.5091743119266054,0.3373860182370821,1,0.6959388776258989,0.5091743119266054,0.3373860182370821,4310.876276016235
