folder_name,dataset,model,optimizer,seed,learning_rate,epochs,batch_size,momentum,weight_decay,spsa_a,spsa_c,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_acc,best_val_acc,final_train_acc,training_time
cifar10_ResNet18_SGD_42_1752419824,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.6196,0.6203276627992175,0.6238515407962875,0.6195999999999999,0.6203276627992175,0.6238515407962875,0.6196,0.0342666863187714,1.994942152842927,61.96,62.78,98.948,1531.9802901744845
cifar10_ResNet18_SGD_42_1752421389,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.7193,0.7189970990918366,0.7202231933682048,0.7193,0.7189970990918366,0.7202231933682047,0.7193,0.0177097398634695,1.8493349484551829,71.93,71.93,99.424,1603.311781167984
cifar10_ResNet18_SGD_42_1752427502,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.6095,0.6099624607919084,0.6139108614777002,0.6094999999999999,0.6099624607919084,0.6139108614777002,0.6095,0.036275661300389,2.069796607326776,60.95,61.47,98.914,1561.7545852661133
cifar10_ResNet18_SGD_42_1752435826,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.6148,0.6152400930413975,0.6178343270600606,0.6148,0.6152400930413975,0.6178343270600605,0.6148,0.0380935400901454,1.982963217333102,61.48,62.12,98.772,1542.4434325695038
cifar10_ResNet18_SGD_42_1752437403,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.7228,0.7232513057459526,0.7251545805778195,0.7228000000000001,0.7232513057459526,0.7251545805778195,0.7228,0.0114167072736488,1.753969621258422,72.28,72.44,99.632,1610.4759595394137
cifar10_ResNet18_SGD_42_1752550326,cifar10,ResNet18,SGD,42,0.001,50,32,0.9,,,,0.7207,0.7222038376883028,0.7252589203081424,0.7207000000000001,0.7222038376883027,0.7252589203081424,0.7207,0.0140652701408323,1.7827838699276837,72.07,72.07,99.512,1581.9156222343445
cifar10_ResNet18_SPSA_1337_1752336361,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.7767,0.7786243624255154,0.7817070029130256,0.7767,0.7786243624255152,0.7817070029130256,0.7767,0.0307632228588681,1.2843927361142522,77.67,78.41,99.06,1707.4257202148438
cifar10_ResNet18_SPSA_1337_1752405771,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.7797,0.7804047551367214,0.7828751037408473,0.7797,0.7804047551367214,0.7828751037408472,0.7797,0.0289989518441539,1.3357382695705364,77.97,78.32,98.998,1712.5588455200195
cifar10_ResNet18_SPSA_1337_1752407517,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.7025,0.7028986090119334,0.7051904854687729,0.7025,0.7028986090119332,0.7051904854687729,0.7025,0.0396103459318272,1.75208977674143,70.25,70.92,98.638,1713.594830751419
cifar10_ResNet18_SPSA_1337_1752567522,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.7726,0.7731718276831299,0.7769137538832257,0.7726,0.77317182768313,0.7769137538832258,0.7726,0.0293758755825939,1.3814634908550083,77.26,78.16,99.032,1720.8607153892517
cifar10_ResNet18_SPSA_1337_1752621378,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.714,0.7141989951323204,0.715028942778108,0.714,0.7141989951323204,0.715028942778108,0.714,0.0381287407050009,1.6963546252288757,71.4,71.4,98.706,1748.0761835575104
cifar10_ResNet18_SPSA_1337_1752623157,cifar10,ResNet18,SPSA,1337,0.001,50,32,,,0.1,0.01,0.778,0.7788253512420921,0.7815113238729079,0.7779999999999999,0.7788253512420921,0.781511323872908,0.778,0.0262288897570829,1.3790036008095208,77.8,78.25,99.132,1738.7894504070282
cifar10_ResNet18_SPSA_2025_1752338101,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.7701,0.7690997008317553,0.7696555752408473,0.7701,0.7690997008317552,0.7696555752408474,0.7701,0.0254451125038077,1.3624338320554636,77.01,77.8,99.178,1725.4843957424164
cifar10_ResNet18_SPSA_2025_1752409261,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.779,0.7776739587069614,0.7781548691007015,0.7789999999999999,0.7776739587069614,0.7781548691007014,0.779,0.0290710612188413,1.3013605815343583,77.9,78.04,99.034,1714.8279752731323
cifar10_ResNet18_SPSA_2025_1752411007,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.7061,0.7041638874343705,0.7043085754830081,0.7061000000000001,0.7041638874343706,0.704308575483008,0.7061,0.0371335212873889,1.7219827743574454,70.61,70.66,98.778,1708.4470326900482
cifar10_ResNet18_SPSA_2025_1752569275,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.767,0.7675508564478049,0.7707891475184209,0.7670000000000001,0.7675508564478049,0.7707891475184208,0.767,0.0242918547948903,1.4020969062662734,76.7,77.77,99.16,1720.470786571503
cifar10_ResNet18_SPSA_2025_1752624926,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.7122,0.7115347744261267,0.7123332882505896,0.7121999999999999,0.7115347744261268,0.7123332882505896,0.7122,0.0344587820515709,1.728862781113329,71.22,71.35,98.836,1753.6685619354248
cifar10_ResNet18_SPSA_2025_1752626712,cifar10,ResNet18,SPSA,2025,0.001,50,32,,,0.1,0.01,0.7807,0.779433910498431,0.7792170302431803,0.7807000000000001,0.779433910498431,0.7792170302431805,0.7807,0.0267534751743201,1.3728689319028642,78.07,78.07,99.13,1744.588118314743
cifar10_ResNet18_SPSA_42_1752450858,cifar10,ResNet18,SPSA,42,0.001,50,32,,,0.1,0.01,0.6963,0.6967718968945824,0.702541042935494,0.6962999999999999,0.6967718968945824,0.702541042935494,0.6963,0.0412812207665382,1.7542283284587985,69.63,70.66,98.538,1743.2350273132324
cifar10_ResNet18_SPSA_42_1752452632,cifar10,ResNet18,SPSA,42,0.001,50,32,,,0.1,0.01,0.7715,0.7717247822534399,0.7751500381860309,0.7715,0.7717247822534399,0.7751500381860309,0.7715,0.0277323312452582,1.404984010579868,77.15,78.18,99.108,1744.8882467746737
cifar10_ResNet18_SPSA_42_1752565774,cifar10,ResNet18,SPSA,42,0.001,50,32,,,0.1,0.01,0.7822,0.7825083039017426,0.7842168623212485,0.7822000000000001,0.7825083039017425,0.7842168623212485,0.7822,0.0272357216703998,1.3186455241645487,78.22,78.22,99.13,1716.8063764572144
cifar10_ResNet18_SPSA_42_1752617797,cifar10,ResNet18,SPSA,42,0.001,50,32,,,0.1,0.01,0.7145,0.7135911719472986,0.714237712715137,0.7145,0.7135911719472988,0.714237712715137,0.7145,0.036886993183708,1.7070269738904202,71.45,71.45,98.75,1753.5654530525208
cifar10_ResNet18_SPSA_42_1752619585,cifar10,ResNet18,SPSA,42,0.001,50,32,,,0.1,0.01,0.7705,0.7715253465470483,0.7735173152719128,0.7705,0.7715253465470483,0.7735173152719129,0.7705,0.0268976631873413,1.3477988095995717,77.05,77.78,99.074,1762.7356705665588
cifar10_SimpleCNN_AdamW_1337_1752542979,cifar10,SimpleCNN,AdamW,1337,0.001,50,32,,0.01,,,0.7694,0.7679317170611717,0.7693212540353953,0.7693999999999999,0.7679317170611718,0.7693212540353951,0.7694,0.1407801148105384,1.227605812346783,76.94,77.64,95.378,888.5125987529755
cifar10_SimpleCNN_AdamW_2025_1752543907,cifar10,SimpleCNN,AdamW,2025,0.001,50,32,,0.01,,,0.7647,0.7670567811250777,0.7724571930964627,0.7647,0.7670567811250777,0.7724571930964627,0.7647,0.1394941024467353,1.2036491324916816,76.47,77.81,95.244,890.78200340271
cifar10_SimpleCNN_AdamW_42_1750308307,cifar10,SimpleCNN,AdamW,42,0.001,50,32,,0.01,,,0.795,0.7941573748911375,0.7956219347627166,0.795,0.7941573748911375,0.7956219347627165,0.795,0.4629526622235775,0.7066108870525329,78.85,79.2,84.0,430.2138538360596
cifar10_SimpleCNN_AdamW_42_1750310003,cifar10,SimpleCNN,AdamW,42,0.001,50,32,,0.01,,,0.8136,0.811606154092547,0.8128360404814305,0.8135999999999999,0.811606154092547,0.8128360404814304,0.8136,0.3019165701985359,0.6934805514570623,79.81,80.85,89.2425,437.594850063324
cifar10_SimpleCNN_AdamW_42_1750311725,cifar10,SimpleCNN,AdamW,42,0.001,50,32,,0.01,,,0.8107,0.8108708380743188,0.8123649938685338,0.8107,0.8108708380743189,0.8123649938685337,0.8107,0.2944180993884802,0.694199310276455,80.45,80.95,89.6875,427.1825928688049
cifar10_SimpleCNN_AdamW_42_1752542055,cifar10,SimpleCNN,AdamW,42,0.001,50,32,,0.01,,,0.7618,0.762761918651875,0.7687957014511186,0.7617999999999999,0.7627619186518749,0.7687957014511185,0.7618,0.1361951313587233,1.2675760993228171,76.18,77.41,95.468,894.0442698001862
cifar10_SimpleCNN_Adam_1337_1750303761,cifar10,SimpleCNN,Adam,1337,0.001,50,32,,,,,0.793,0.7921535516951698,0.7976616762050391,0.7929999999999999,0.7921535516951698,0.7976616762050392,0.793,0.4720600091278553,0.7815398931408081,76.89,78.64,83.8425,423.97069931030273
cifar10_SimpleCNN_Adam_1337_1750305463,cifar10,SimpleCNN,Adam,1337,0.001,50,32,,,,,0.8182,0.8179950640020952,0.8191742264247317,0.8181999999999998,0.8179950640020951,0.8191742264247317,0.8182,0.2779075317293406,0.7442794926702595,80.16,80.59,90.155,428.4039828777313
cifar10_SimpleCNN_Adam_1337_1752540216,cifar10,SimpleCNN,Adam,1337,0.001,50,32,,,,,0.7572,0.7556432531447455,0.7580971493010834,0.7572000000000001,0.7556432531447455,0.7580971493010834,0.7572,0.1474063524451661,1.6425930849089028,75.72,76.5,95.356,887.853196144104
cifar10_SimpleCNN_Adam_2025_1750304323,cifar10,SimpleCNN,Adam,2025,0.001,50,32,,,,,0.8005,0.7992745680262108,0.7996300599889632,0.8005000000000001,0.7992745680262106,0.7996300599889631,0.8005,0.4642374713689088,0.7107449569545996,78.4,79.04,84.17,431.4148375988007
cifar10_SimpleCNN_Adam_2025_1750306030,cifar10,SimpleCNN,Adam,2025,0.001,50,32,,,,,0.8147,0.8143878243697138,0.815795967672203,0.8147,0.8143878243697138,0.815795967672203,0.8147,0.2776695094332099,0.7360613199944694,79.5,80.63,90.13,425.8811321258545
cifar10_SimpleCNN_Adam_2025_1752541135,cifar10,SimpleCNN,Adam,2025,0.001,50,32,,,,,0.7547,0.7545792453911424,0.7551641757959529,0.7546999999999999,0.7545792453911424,0.7551641757959529,0.7547,0.1384907133838509,1.6515957664567442,75.47,76.88,95.668,889.1572413444519
cifar10_SimpleCNN_Adam_42_1750303199,cifar10,SimpleCNN,Adam,42,0.001,50,32,,,,,0.7971,0.7965554734411737,0.7970298951726422,0.7971000000000001,0.7965554734411737,0.7970298951726423,0.7971,0.4652965566635131,0.7179204083907719,78.64,79.1,83.985,424.2097659111023
cifar10_SimpleCNN_Adam_42_1750304892,cifar10,SimpleCNN,Adam,42,0.001,50,32,,,,,0.8191,0.8186383854440218,0.8200438535773064,0.8190999999999999,0.8186383854440218,0.8200438535773062,0.8191,0.2984522954523563,0.6990353356058986,80.29,80.94,89.415,432.0176365375519
cifar10_SimpleCNN_Adam_42_1752539295,cifar10,SimpleCNN,Adam,42,0.001,50,32,,,,,0.7577,0.7578430653785446,0.7600271069755965,0.7576999999999999,0.7578430653785445,0.7600271069755965,0.7577,0.1363190973848038,1.6731503755330277,75.77,77.29,95.754,891.6011943817139
