run_id,run_name,status,model,dataset,optimizer,seed,lr,momentum,weight_decay,eps,betas,a,c,max_iter,task_type,gpu_name,gpu_available,gpu_count,cpu_count,accuracy,f1_score,precision,recall,roc_auc,rmse,mse,mae,r2_score,training_time
e4da1c24-b633-484b-b2cb-34b83a18078b,,FINISHED,XGBoost,adults,QNG,1337,0.01,,,,,,,,classification,Tesla T4,True,1,8,0.8534138601699253,0.8385140651526612,0.8511027953177458,0.8534138601699253,0.9101354071371646,,,,,0.6606495380401611
472099aa-789a-42d2-bc1b-a9ab21f286c0,,FINISHED,XGBoost,adults,SGD,2025,0.1,,,,,,,,classification,Tesla T4,True,1,8,0.8702016583068891,0.8660298198758898,0.8654647090178768,0.8702016583068891,0.9241611073947612,,,,,0.8532497882843018
02b4acbf-d09b-47f3-96ee-1d971520830f,,FINISHED,XGBoost,adults,SGD,2025,0.01,,,,,,,,classification,Tesla T4,True,1,8,0.8507523799774798,0.8338004296454133,0.8500115191527584,0.8507523799774798,0.9065509041896598,,,,,0.6432268619537354
fdf698f5-f47a-4d7d-a67d-bcc5af12df7b,,FINISHED,XGBoost,adults,SGD,2025,0.001,,,,,,,,classification,Tesla T4,True,1,8,0.7606715119254785,0.6572732564090966,0.5786211490549934,0.7606715119254785,0.8921291737995835,,,,,0.6312041282653809
30ec72d1-4b10-4dd9-af5d-ab05f1930e6a,,FINISHED,XGBoost,adults,Adam,2025,0.1,,,,,,,,classification,Tesla T4,True,1,8,0.8702016583068891,0.8660298198758898,0.8654647090178768,0.8702016583068891,0.9241611073947612,,,,,0.6558589935302734
e20cf25b-177d-48ac-8270-e52bb3ea47a6,,FINISHED,XGBoost,adults,Adam,2025,0.01,,,,,,,,classification,Tesla T4,True,1,8,0.8507523799774798,0.8338004296454133,0.8500115191527584,0.8507523799774798,0.9065509041896598,,,,,0.6324660778045654
70ed7663-df6a-4a5c-ae8c-a2f773c7f6d0,,FINISHED,XGBoost,adults,Adam,2025,0.001,,,,,,,,classification,Tesla T4,True,1,8,0.7606715119254785,0.6572732564090966,0.5786211490549934,0.7606715119254785,0.8921291737995835,,,,,0.6247470378875732
a1ebe89c-0abc-4ecf-b1fe-0f8981c35071,,FINISHED,XGBoost,adults,SPSA,2025,0.1,,,,,,,,classification,Tesla T4,True,1,8,0.8702016583068891,0.8660298198758898,0.8654647090178768,0.8702016583068891,0.9241611073947612,,,,,0.633375883102417
d25305e8-4a12-4d21-b6a1-fb80cdd0ad41,,FINISHED,XGBoost,adults,SPSA,2025,0.01,,,,,,,,classification,Tesla T4,True,1,8,0.8507523799774798,0.8338004296454133,0.8500115191527584,0.8507523799774798,0.9065509041896598,,,,,0.6489596366882324
da98772a-08d4-4c64-9f40-ca80196f3e7d,,FINISHED,XGBoost,adults,QNG,2025,0.1,,,,,,,,classification,Tesla T4,True,1,8,0.8702016583068891,0.8660298198758898,0.8654647090178768,0.8702016583068891,0.9241611073947612,,,,,0.6405203342437744
7d0a4e27-53c3-4bcc-a76f-2d0206f1fa0a,,FINISHED,XGBoost,adults,QNG,2025,0.01,,,,,,,,classification,Tesla T4,True,1,8,0.8507523799774798,0.8338004296454133,0.8500115191527584,0.8507523799774798,0.9065509041896598,,,,,0.6666312217712402
6a219982-4f65-45d9-8851-cc104a1b4206,,FINISHED,XGBoost,california_housing,SGD,42,0.1,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.4766240917205388,0.2271705248084286,0.316415329421426,0.826641507666268,0.3638489246368408
64800438-5b31-44a6-90fe-e3978a68a31a,,FINISHED,XGBoost,california_housing,SGD,42,0.01,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.7206101252996503,0.5192789526843777,0.5509771494273529,0.6037275680288297,0.3802907466888428
a7560563-78ad-4ab4-9d0b-b550e300d062,,FINISHED,XGBoost,california_housing,SGD,42,0.001,,,,,,,,regression,Tesla T4,True,1,8,,,,,,1.0749143111120754,1.1554407762335477,0.8493834518720476,0.1182594171595055,0.3799924850463867
2a4db5be-f1fd-49ee-9185-dd08a7fd8274,,FINISHED,XGBoost,california_housing,Adam,42,0.1,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.4766240917205388,0.2271705248084286,0.316415329421426,0.826641507666268,0.7618868350982666
b5438441-22ce-4f49-be38-79969f4d8bba,,FINISHED,XGBoost,california_housing,Adam,42,0.01,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.7206101252996503,0.5192789526843777,0.5509771494273529,0.6037275680288297,0.3704416751861572
7d576625-f92e-44e0-b193-4350401cab83,,FINISHED,XGBoost,california_housing,Adam,42,0.001,,,,,,,,regression,Tesla T4,True,1,8,,,,,,1.0749143111120754,1.1554407762335477,0.8493834518720476,0.1182594171595055,0.3884205818176269
edee5fc7-13c2-4da0-aa7e-3567b8d44d34,,FINISHED,XGBoost,california_housing,SPSA,42,0.1,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.4766240917205388,0.2271705248084286,0.316415329421426,0.826641507666268,0.3596878051757812
bcfafe6e-aec7-49df-acd0-7510372a0787,,FINISHED,XGBoost,california_housing,SPSA,42,0.01,,,,,,,,regression,Tesla T4,True,1,8,,,,,,0.7206101252996503,0.5192789526843777,0.5509771494273529,0.6037275680288297,0.5589501857757568
